A,B,C
11986,NOU,headway
11987,NOU,headwear
11988,NOU,heckler
11989,NOU,hegemony
11990,NOU,hematology
11991,NOU,hemodialysis
11992,NOU,hemophilia
11993,NOU,herbarium
11994,NOU,herbivore
11995,NOU,heretic
11996,NOU,hermaphrodite
11997,NOU,hermitage
11998,NOU,herring
11999,NOU,hickory
12000,NOU,hideaway
12001,NOU,hijab
12002,NOU,hindu
12003,NOU,hispanic
12004,NOU,histamine
12005,NOU,hobo
12006,NOU,homebuilder
12007,NOU,homesite
12008,NOU,homology
12009,NOU,homosexuality
12010,NOU,horseback
12011,NOU,horsemanship
12012,NOU,horseshoe
12013,NOU,hostess
12014,NOU,hotspot
12015,NOU,hourglass
12016,NOU,housemate
12017,NOU,howl
12018,NOU,huddle
12019,NOU,humpback
12020,NOU,hungarian
12021,NOU,hustle
12022,NOU,hutch
12023,NOU,hydroxide
12024,NOU,hypertension
12025,NOU,hyperventilation
12026,NOU,hypnotherapist
12027,NOU,hysterectomy
12028,NOU,ibex
12029,NOU,ibis
12030,NOU,iceberg
12031,NOU,icebreaker
12032,NOU,igloo
12033,NOU,ignorance
12034,NOU,immunotherapy
12035,NOU,imperative
12036,NOU,imperialist
12037,NOU,implantation
12038,NOU,inactivity
12039,NOU,incarnation
12040,NOU,inclination
12041,NOU,infiltration
12042,NOU,injustice
12043,NOU,inkling
12044,NOU,innervation
12045,NOU,innocence
12046,NOU,inoculant
12047,NOU,insanity
12048,NOU,insemination
12049,NOU,instability
12050,NOU,instrumental
12051,NOU,intermediary
12052,NOU,international
12053,NOU,internist
12054,NOU,interpreting
12055,NOU,interrupter
12056,NOU,interviewing
12057,NOU,intruder
12058,NOU,invalid
12059,NOU,invocation
12060,NOU,iridium
12061,NOU,islet
12062,NOU,itching
12063,NOU,ivory
12064,NOU,jacquard
12065,NOU,jamaican
12066,NOU,jamboree
12067,NOU,jasmine
12068,NOU,jellyfish
12069,NOU,jive
12070,NOU,jojoba
12071,NOU,judgement
12072,NOU,jug
12073,NOU,jukebox
12074,NOU,jurisprudence
12075,NOU,justification
12076,NOU,kale
12077,NOU,kata
12078,NOU,keepsake
12079,NOU,kestrel
12080,NOU,ketone
12081,NOU,kickball
12082,NOU,kidnapping
12083,NOU,kimchi
12084,NOU,kindness
12085,NOU,kinesiology
12086,NOU,kingfish
12087,NOU,kink
12088,NOU,kissing
12089,NOU,kiva
12090,NOU,klingon
12091,NOU,kraken
12092,NOU,laborer
12093,NOU,labyrinth
12094,NOU,lace-up
12095,NOU,laird
12096,NOU,lancer
12097,NOU,landfall
12098,NOU,laureate
12099,NOU,layoff
12100,NOU,layover
12101,NOU,leapfrog
12102,NOU,leaseholder
12103,NOU,leaver
12104,NOU,left-hander
12105,NOU,lemur
12106,NOU,leopard
12107,NOU,leukaemia
12108,NOU,levy
12109,NOU,lexicon
12110,NOU,liar
12111,NOU,libel
12112,NOU,libertarianism
12113,NOU,librarianship
12114,NOU,lifeguard
12115,NOU,lifeline
12116,NOU,liftoff
12117,NOU,ligature
12118,NOU,lighter
12119,NOU,lightness
12120,NOU,limiter
12121,NOU,link-up
12122,NOU,liquidator
12123,NOU,lisp
12124,NOU,living-room
12125,NOU,lobbyist
12126,NOU,lobe
12127,NOU,lobster
12128,NOU,lockdown
12129,NOU,locket
12130,NOU,lodger
12131,NOU,logbook
12132,NOU,loudness
12133,NOU,lumberjack
12134,NOU,luminosity
12135,NOU,luncheon
12136,NOU,lupus
12137,NOU,luv
12138,NOU,machining
12139,NOU,machinist
12140,NOU,macrophage
12141,NOU,madame
12142,NOU,mailer
12143,NOU,mainspring
12144,NOU,majesty
12145,NOU,making
12146,NOU,mako
12147,NOU,malignancy
12148,NOU,mammogram
12149,NOU,mammography
12150,NOU,maneuver
12151,NOU,manhood
12152,NOU,mannequin
12153,NOU,manoeuvre
12154,NOU,manta
12155,NOU,marathoner
12156,NOU,margarine
12157,NOU,marist
12158,NOU,markdown
12159,NOU,marsh
12160,NOU,marten
12161,NOU,martini
12162,NOU,marxist
12163,NOU,mastectomy
12164,NOU,matchbox
12165,NOU,matchmaker
12166,NOU,matinee
12167,NOU,mating
12168,NOU,maya
12169,NOU,mayhem
12170,NOU,meditator
12171,NOU,medley
12172,NOU,melt
12173,NOU,memorization
12174,NOU,meniscus
12175,NOU,menstruation
12176,NOU,mentee
12177,NOU,mentoring
12178,NOU,mermaid
12179,NOU,meta-analysis
12180,NOU,metastasis
12181,NOU,meteorologist
12182,NOU,methane
12183,NOU,methanol
12184,NOU,metropolis
12185,NOU,mica
12186,NOU,micro-cap
12187,NOU,microcomputer
12188,NOU,microgravity
12189,NOU,micron
12190,NOU,midpoint
12191,NOU,midsection
12192,NOU,midsummer
12193,NOU,minoxidil
12194,NOU,miscarriage
12195,NOU,mischief
12196,NOU,misfortune
12197,NOU,misstatement
12198,NOU,misuse
12199,NOU,mobilization
12200,NOU,mogul
12201,NOU,molasses
12202,NOU,molding
12203,NOU,monofilament
12204,NOU,monogamy
12205,NOU,monograph
12206,NOU,monomer
12207,NOU,mooch
12208,NOU,moonshine
12209,NOU,moray
12210,NOU,motherhood
12211,NOU,motility
12212,NOU,motive
12213,NOU,mountaintop
12214,NOU,mousse
12215,NOU,mucosa
12216,NOU,multiplex
12217,NOU,mumble
12218,NOU,munitions
12219,NOU,musket
12220,NOU,mutilation
12221,NOU,muzzleloader
12222,NOU,mycelium
12223,NOU,myriad
12224,NOU,nacelle
12225,NOU,nanotechnology
12226,NOU,nappy
12227,NOU,narcotic
12228,NOU,nationalism
12229,NOU,nativity
12230,NOU,nazarene
12231,NOU,necessity
12232,NOU,needlework
12233,NOU,negotiator
12234,NOU,neoliberalism
12235,NOU,netball
12236,NOU,netting
12237,NOU,neuroscientist
12238,NOU,neutering
12239,NOU,neutrality
12240,NOU,neutrino
12241,NOU,newcomer
12242,NOU,newel
12243,NOU,newscast
12244,NOU,newsprint
12245,NOU,nibble
12246,NOU,nimbus
12247,NOU,nirvana
12248,NOU,nodule
12249,NOU,non-white
12250,NOU,nook
12251,NOU,northland
12252,NOU,nuance
12253,NOU,nudity
12254,NOU,nutmeg
12255,NOU,oatmeal
12256,NOU,observance
12257,NOU,obsession
12258,NOU,obstetrician
12259,NOU,obstetrics
12260,NOU,occlusion
12261,NOU,oedema
12262,NOU,offending
12263,NOU,offensive
12264,NOU,officiant
12265,NOU,olympiad
12266,NOU,one-of-a-kind
12267,NOU,onyx
12268,NOU,opal
12269,NOU,organic
12270,NOU,otolaryngology
12271,NOU,outfielder
12272,NOU,outlaw
12273,NOU,outrage
12274,NOU,outsider
12275,NOU,ovation
12276,NOU,overhaul
12277,NOU,overhead
12278,NOU,overlap
12279,NOU,overlord
12280,NOU,overnight
12281,NOU,ovum
12282,NOU,oxidation
12283,NOU,pagan
12284,NOU,palisade
12285,NOU,palsy
12286,NOU,pancake
12287,NOU,pannier
12288,NOU,pantheon
12289,NOU,papyrus
12290,NOU,paradox
12291,NOU,paralysis
12292,NOU,paramedic
12293,NOU,paraphernalia
12294,NOU,paraphrase
12295,NOU,parity
12296,NOU,particulate
12297,NOU,pasteurization
12298,NOU,patchwork
12299,NOU,paternity
12300,NOU,patience
12301,NOU,patina
12302,NOU,patriarchy
12303,NOU,payoff
12304,NOU,pda
12305,NOU,pecan
12306,NOU,pectoral
12307,NOU,pedestal
12308,NOU,peek
12309,NOU,peep
12310,NOU,pelt
12311,NOU,peppermint
12312,NOU,perfection
12313,NOU,perfumery
12314,NOU,peril
12315,NOU,periodical
12316,NOU,periscope
12317,NOU,permutation
12318,NOU,persian
12319,NOU,persistence
12320,NOU,petticoat
12321,NOU,phobia
12322,NOU,photojournalist
12323,NOU,phrasing
12324,NOU,piglet
12325,NOU,pink
12326,NOU,planetarium
12327,NOU,platter
12328,NOU,playa
12329,NOU,playroom
12330,NOU,plinth
12331,NOU,plotter
12332,NOU,plurality
12333,NOU,polymerization
12334,NOU,polyphony
12335,NOU,pomade
12336,NOU,pontiff
12337,NOU,popper
12338,NOU,porosity
12339,NOU,portable
12340,NOU,possum
12341,NOU,posterior
12342,NOU,power-plant
12343,NOU,preamble
12344,NOU,precursor
12345,NOU,predecessor
12346,NOU,predicate
12347,NOU,preface
12348,NOU,prefect
12349,NOU,preposition
12350,NOU,presbytery
12351,NOU,preservative
12352,NOU,presidio
12353,NOU,primacy
12354,NOU,primavera
12355,NOU,principality
12356,NOU,printmaking
12357,NOU,prodigy
12358,NOU,prologue
12359,NOU,promontory
12360,NOU,proofreader
12361,NOU,proprietor
12362,NOU,prostatitis
12363,NOU,prosthetics
12364,NOU,psilocybin
12365,NOU,psychic
12366,NOU,psychoanalysis
12367,NOU,pug
12368,NOU,pulley
12369,NOU,purgatory
12370,NOU,pylorus
12371,NOU,pyro
12372,NOU,qigong
12373,NOU,quantifier
12374,NOU,quark
12375,NOU,quarry
12376,NOU,quarterly
12377,NOU,quince
12378,NOU,quint
12379,NOU,quitter
12380,NOU,racecourse
12381,NOU,racetrack
12382,NOU,raceway
12383,NOU,racist
12384,NOU,radiance
12385,NOU,radiography
12386,NOU,radon
12387,NOU,rafting
12388,NOU,rake
12389,NOU,rancher
12390,NOU,rappel
12391,NOU,rater
12392,NOU,rationalist
12393,NOU,raver
12394,NOU,readability
12395,NOU,realist
12396,NOU,reassurance
12397,NOU,rebellion
12398,NOU,rebirth
12399,NOU,receptacle
12400,NOU,reckoning
12401,NOU,recourse
12402,NOU,reefer
12403,NOU,re-enactment
12404,NOU,reformation
12405,NOU,regular
12406,NOU,rejuvenation
12407,NOU,relegation
12408,NOU,remainder
12409,NOU,remake
12410,NOU,remediation
12411,NOU,remnant
12412,NOU,remover
12413,NOU,rendezvous
12414,NOU,replenishment
12415,NOU,resistivity
12416,NOU,respiration
12417,NOU,respirator
12418,NOU,responsiveness
12419,NOU,restaurateur
12420,NOU,retard
12421,NOU,retinol
12422,NOU,retinopathy
12423,NOU,revaluation
12424,NOU,revenge
12425,NOU,reverend
12426,NOU,revisionist
12427,NOU,revocation
12428,NOU,rewind
12429,NOU,rheumatology
12430,NOU,rhinitis
12431,NOU,riboflavin
12432,NOU,ridership
12433,NOU,rigging
12434,NOU,rind
12435,NOU,ringside
12436,NOU,riverside
12437,NOU,roadster
12438,NOU,roar
12439,NOU,rodeo
12440,NOU,rollover
12441,NOU,romper
12442,NOU,roofer
12443,NOU,rosette
12444,NOU,rotator
12445,NOU,roundhouse
12446,NOU,rubbish
12447,NOU,runabout
12448,NOU,runaway
12449,NOU,runner-up
12450,NOU,safeguard
12451,NOU,salamander
12452,NOU,saliva
12453,NOU,salve
12454,NOU,sandalwood
12455,NOU,sandstone
12456,NOU,sanitizer
12457,NOU,saracen
12458,NOU,sashimi
12459,NOU,sasquatch
12460,NOU,sateen
12461,NOU,scalability
12462,NOU,scaling
12463,NOU,scepter
12464,NOU,schematics
12465,NOU,schoolhouse
12466,NOU,scleroderma
12467,NOU,sconce
12468,NOU,scrambler
12469,NOU,screech
12470,NOU,screener
12471,NOU,screensaver
12472,NOU,sculpting
12473,NOU,sculptor
12474,NOU,seaboard
12475,NOU,seafarer
12476,NOU,sealing
12477,NOU,searcher
12478,NOU,sebum
12479,NOU,secrecy
12480,NOU,self-assessment
12481,NOU,self-love
12482,NOU,self-sufficiency
12483,NOU,sending
12484,NOU,sepal
12485,NOU,sepsis
12486,NOU,sesame
12487,NOU,shame
12488,NOU,sharia
12489,NOU,sharing
12490,NOU,sheepskin
12491,NOU,shindig
12492,NOU,shoreline
12493,NOU,shrug
12494,NOU,sickness
12495,NOU,sidecar
12496,NOU,sideshow
12497,NOU,sieve
12498,NOU,signatory
12499,NOU,signet
12500,NOU,silo
12501,NOU,silversmith
12502,NOU,silverware
12503,NOU,similarity
12504,NOU,sinking
12505,NOU,sinus
12506,NOU,sketchbook
12507,NOU,skid
12508,NOU,skunk
12509,NOU,skylight
12510,NOU,skyscraper
12511,NOU,slash
12512,NOU,slaughterhouse
12513,NOU,slayer
12514,NOU,sleuth
12515,NOU,sluice
12516,NOU,slurry
12517,NOU,slut
12518,NOU,smear
12519,NOU,smuggler
12520,NOU,snail
12521,NOU,snapdragon
12522,NOU,snooze
12523,NOU,snorkel
12524,NOU,solitude
12525,NOU,sorbet
12526,NOU,sorcerer
12527,NOU,sounder
12528,NOU,southpaw
12529,NOU,spaceflight
12530,NOU,spaceship
12531,NOU,spanking
12532,NOU,specificity
12533,NOU,speedometer
12534,NOU,spender
12535,NOU,sphinx
12536,NOU,spiciness
12537,NOU,spill
12538,NOU,spirituality
12539,NOU,splendor
12540,NOU,splice
12541,NOU,splitter
12542,NOU,spool
12543,NOU,spraying
12544,NOU,squid
12545,NOU,stable
12546,NOU,staffer
12547,NOU,stagnation
12548,NOU,stairs
12549,NOU,stalk
12550,NOU,stallion
12551,NOU,standpoint
12552,NOU,starfish
12553,NOU,stave
12554,NOU,steamboat
12555,NOU,steamer
12556,NOU,steelhead
12557,NOU,stern
12558,NOU,stethoscope
12559,NOU,stiletto
12560,NOU,stillness
12561,NOU,stimulator
12562,NOU,sting
12563,NOU,stirrup
12564,NOU,stitcher
12565,NOU,stoneware
12566,NOU,stopover
12567,NOU,storybook
12568,NOU,stratum
12569,NOU,strengthening
12570,NOU,stride
12571,NOU,striper
12572,NOU,stripper
12573,NOU,strongman
12574,NOU,strum
12575,NOU,stubble
12576,NOU,stucco
12577,NOU,stunt
12578,NOU,subcategory
12579,NOU,subclass
12580,NOU,subgenre
12581,NOU,submenu
12582,NOU,submittal
12583,NOU,subordinate
12584,NOU,subroutine
12585,NOU,suffix
12586,NOU,suffrage
12587,NOU,sulphate
12588,NOU,sulphur
12589,NOU,summons
12590,NOU,sunbelt
12591,NOU,sundae
12592,NOU,sunflower
12593,NOU,supercharger
12594,NOU,supercomputer
12595,NOU,surrogate
12596,NOU,survivability
12597,NOU,sweetie
12598,NOU,swift
12599,NOU,swine
12600,NOU,swinger
12601,NOU,swipe
12602,NOU,swivel
12603,NOU,synchronicity
12604,NOU,synchrotron
12605,NOU,syndication
12606,NOU,syrian
12607,NOU,tabby
12608,NOU,tablature
12609,NOU,tachycardia
12610,NOU,tackling
12611,NOU,tadpole
12612,NOU,taillight
12613,NOU,takedown
12614,NOU,tango
12615,NOU,tankini
12616,NOU,tao
12617,NOU,tarmac
12618,NOU,taskbar
12619,NOU,tattooing
12620,NOU,taunt
12621,NOU,teapot
12622,NOU,telecommuting
12623,NOU,temperance
12624,NOU,tendonitis
12625,NOU,testbed
12626,NOU,tetanus
12627,NOU,tetra
12628,NOU,theist
12629,NOU,thermodynamics
12630,NOU,thesaurus
12631,NOU,thoroughness
12632,NOU,threading
12633,NOU,threesome
12634,NOU,thru-hike
12635,NOU,tibetan
12636,NOU,tibia
12637,NOU,tiling
12638,NOU,tiller
12639,NOU,timeframe
12640,NOU,timescale
12641,NOU,ting
12642,NOU,tomography
12643,NOU,tonality
12644,NOU,tonnage
12645,NOU,toothbrush
12646,NOU,topcoat
12647,NOU,topper
12648,NOU,topside
12649,NOU,torture
12650,NOU,touchpad
12651,NOU,townhouse
12652,NOU,trade-in
12653,NOU,trafficker
12654,NOU,traitor
12655,NOU,trajectory
12656,NOU,trapper
12657,NOU,trawler
12658,NOU,treehouse
12659,NOU,treeline
12660,NOU,trellis
12661,NOU,tremolo
12662,NOU,tremor
12663,NOU,tress
12664,NOU,tricorder
12665,NOU,triglyceride
12666,NOU,trope
12667,NOU,tropics
12668,NOU,truckload
12669,NOU,tsar
12670,NOU,tug
12671,NOU,tulip
12672,NOU,tumbler
12673,NOU,twain
12674,NOU,tweed
12675,NOU,tweezers
12676,NOU,twist
12677,NOU,tycoon
12678,NOU,typescript
12679,NOU,typesetting
12680,NOU,tyranny
12681,NOU,undershirt
12682,NOU,underside
12683,NOU,underwriter
12684,NOU,uniformity
12685,NOU,universal
12686,NOU,unrest
12687,NOU,upright
12688,NOU,uprising
12689,NOU,uptake
12690,NOU,urologist
12691,NOU,urology
12692,NOU,utilitarianism
12693,NOU,vassal
12694,NOU,verge
12695,NOU,vertigo
12696,NOU,verve
12697,NOU,vesicle
12698,NOU,veto
12699,NOU,vigil
12700,NOU,vignette
12701,NOU,violet
12702,NOU,viper
12703,NOU,virology
12704,NOU,virtuoso
12705,NOU,visionary
12706,NOU,vista
12707,NOU,vixen
12708,NOU,vocalization
12709,NOU,voicing
12710,NOU,void
12711,NOU,waffle
12712,NOU,walkway
12713,NOU,walrus
12714,NOU,want
12715,NOU,warm-up
12716,NOU,wartime
12717,NOU,washbasin
12718,NOU,wasteland
12719,NOU,waterworks
12720,NOU,weaponry
12721,NOU,weaving
12722,NOU,weft
12723,NOU,werewolf
12724,NOU,wetting
12725,NOU,whaler
12726,NOU,whatnot
12727,NOU,whereabouts
12728,NOU,whistle-blower
12729,NOU,wicking
12730,NOU,windfall
12731,NOU,windsurfing
12732,NOU,winnings
12733,NOU,wizardry
12734,NOU,wordplay
12735,NOU,worsted
12736,NOU,write-up
12737,NOU,x-axis
12738,NOU,yak
12739,NOU,yang
12740,NOU,yolk
12741,NOU,zag
12742,NOU,zeppelin
12743,NOU,zirconia
12744,NOU,abattoir
12745,NOU,abscess
12746,NOU,abstinence
12747,NOU,acadian
12748,NOU,accelerometer
12749,NOU,accomplice
12750,NOU,accordion
12751,NOU,accrual
12752,NOU,accusation
12753,NOU,acetaminophen
12754,NOU,achiever
12755,NOU,acidosis
12756,NOU,acknowledgement
12757,NOU,acrobatics
12758,NOU,activator
12759,NOU,activism
12760,NOU,acupressure
12761,NOU,adage
12762,NOU,adaptability
12763,NOU,addressee
12764,NOU,adenocarcinoma
12765,NOU,adequacy
12766,NOU,adjudicator
12767,NOU,adjunct
12768,NOU,adjustability
12769,NOU,admissibility
12770,NOU,admittance
12771,NOU,admixture
12772,NOU,adrenaline
12773,NOU,adsorption
12774,NOU,adultery
12775,NOU,advisement
12776,NOU,aerobics
12777,NOU,affirmation
12778,NOU,affirmative
12779,NOU,affluence
12780,NOU,affordability
12781,NOU,aficionado
12782,NOU,afterbirth
12783,NOU,aftershave
12784,NOU,afterthought
12785,NOU,agape
12786,NOU,agarose
12787,NOU,agave
12788,NOU,aggressor
12789,NOU,agonist
12790,NOU,aide
12791,NOU,aikido
12792,NOU,aircrew
12793,NOU,airfoil
12794,NOU,air-force
12795,NOU,airmail
12796,NOU,airplay
12797,NOU,airpower
12798,NOU,airwaves
12799,NOU,alarmist
12800,NOU,albanian
12801,NOU,aldehyde
12802,NOU,alderman
12803,NOU,alias
12804,NOU,all-american
12805,NOU,allegiance
12806,NOU,allegro
12807,NOU,alligator
12808,NOU,all-in-one
12809,NOU,allotment
12810,NOU,allure
12811,NOU,alpaca
12812,NOU,altercation
12813,NOU,alternator
12814,NOU,altiplano
12815,NOU,altruist
12816,NOU,alumina
12817,NOU,amends
12818,NOU,ammonite
12819,NOU,amnesia
12820,NOU,amortization
12821,NOU,amour
12822,NOU,amperage
12823,NOU,amphetamine
12824,NOU,amygdala
12825,NOU,anachronism
12826,NOU,anatomist
12827,NOU,ancient
12828,NOU,aneurysm
12829,NOU,angina
12830,NOU,angioplasty
12831,NOU,anglophone
12832,NOU,angora
12833,NOU,annual
12834,NOU,anonymity
12835,NOU,anova
12836,NOU,antagonism
12837,NOU,anther
12838,NOU,anthropologist
12839,NOU,anthropology
12840,NOU,antihistamine
12841,NOU,antiquarian
12842,NOU,antiquity
12843,NOU,anti-retroviral
12844,NOU,antonym
12845,NOU,apartheid
12846,NOU,aphasia
12847,NOU,aphid
12848,NOU,apiary
12849,NOU,apologetics
12850,NOU,apologia
12851,NOU,apostrophe
12852,NOU,appendage
12853,NOU,applicability
12854,NOU,appropriateness
12855,NOU,apricot
12856,NOU,aqueduct
12857,NOU,arabica
12858,NOU,arcana
12859,NOU,archeologist
12860,NOU,archiving
12861,NOU,argyle
12862,NOU,armature
12863,NOU,armband
12864,NOU,arousal
12865,NOU,arranger
12866,NOU,arson
12867,NOU,artefact
12868,NOU,arthroplasty
12869,NOU,artichoke
12870,NOU,arum
12871,NOU,aryan
12872,NOU,asbestosis
12873,NOU,ascendancy
12874,NOU,ascot
12875,NOU,ascription
12876,NOU,aspergillosis
12877,NOU,assemblyman
12878,NOU,assent
12879,NOU,assimilation
12880,NOU,assistantship
12881,NOU,assize
12882,NOU,asterism
12883,NOU,astrophysicist
12884,NOU,atman
12885,NOU,attenuation
12886,NOU,attic
12887,NOU,attractiveness
12888,NOU,attunement
12889,NOU,auscultation
12890,NOU,avoidance
12891,NOU,ayatollah
12892,NOU,babel
12893,NOU,baboon
12894,NOU,backbone
12895,NOU,backflip
12896,NOU,backhoe
12897,NOU,backside
12898,NOU,backstreet
12899,NOU,bagel
12900,NOU,bailout
12901,NOU,balancer
12902,NOU,ballistics
12903,NOU,balsam
12904,NOU,balustrade
12905,NOU,band-aid
12906,NOU,bandana
12907,NOU,bandeau
12908,NOU,bane
12909,NOU,banger
12910,NOU,bangle
12911,NOU,bantam
12912,NOU,banter
12913,NOU,baritone
12914,NOU,barking
12915,NOU,barmaid
12916,NOU,barony
12917,NOU,basque
12918,NOU,bassoon
12919,NOU,bastion
12920,NOU,batik
12921,NOU,battleground
12922,NOU,bauble
12923,NOU,bayonet
12924,NOU,beagle
12925,NOU,beanbag
12926,NOU,beanstalk
12927,NOU,beater
12928,NOU,beating
12929,NOU,bedrock
12930,NOU,bedside
12931,NOU,beech
12932,NOU,beeswax
12933,NOU,beholder
12934,NOU,belch
12935,NOU,belfry
12936,NOU,beloved
12937,NOU,beltway
12938,NOU,bending
12939,NOU,benevolence
12940,NOU,benzene
12941,NOU,benzodiazepine
12942,NOU,berm
12943,NOU,bestowal
12944,NOU,betrayal
12945,NOU,bey
12946,NOU,biennial
12947,NOU,bimbo
12948,NOU,bioethics
12949,NOU,biographer
12950,NOU,biohazard
12951,NOU,biomass
12952,NOU,biomechanics
12953,NOU,biophysics
12954,NOU,bioreactor
12955,NOU,bioremediation
12956,NOU,biosensor
12957,NOU,biosphere
12958,NOU,biplane
12959,NOU,birthdate
12960,NOU,birthplace
12961,NOU,blackjack
12962,NOU,blacksmith
12963,NOU,blastocyst
12964,NOU,bleachers
12965,NOU,blinders
12966,NOU,blindfold
12967,NOU,bling
12968,NOU,blinking
12969,NOU,bloat
12970,NOU,blockage
12971,NOU,blocking
12972,NOU,bloodline
12973,NOU,bloomer
12974,NOU,blooper
12975,NOU,blowback
12976,NOU,blowdown
12977,NOU,blueberry
12978,NOU,bluefish
12979,NOU,blusher
12980,NOU,boarder
12981,NOU,bodyguard
12982,NOU,boldness
12983,NOU,bolus
12984,NOU,bombardment
12985,NOU,bombshell
12986,NOU,bonefish
12987,NOU,boner
12988,NOU,bonito
12989,NOU,bookie
12990,NOU,bookmobile
12991,NOU,booty
12992,NOU,booze
12993,NOU,bop
12994,NOU,borehole
12995,NOU,bottleneck
12996,NOU,boxcar
12997,NOU,box-office
12998,NOU,boycott
12999,NOU,bracing
13000,NOU,brandy
13001,NOU,brasserie
13002,NOU,brat
13003,NOU,brawler
13004,NOU,brazilian
13005,NOU,breadboard
13006,NOU,breadfruit
13007,NOU,breakpoint
13008,NOU,bream
13009,NOU,breastbone
13010,NOU,breathalyzer
13011,NOU,breather
13012,NOU,breech
13013,NOU,brewmaster
13014,NOU,brimstone
13015,NOU,brioche
13016,NOU,broadhead
13017,NOU,broadleaf
13018,NOU,brogue
13019,NOU,broker-dealer
13020,NOU,bromine
13021,NOU,brothel
13022,NOU,brothers-in-law
13023,NOU,brownstone
13024,NOU,brushwork
13025,NOU,brute
13026,NOU,buckthorn
13027,NOU,buckwheat
13028,NOU,budgie
13029,NOU,build-out
13030,NOU,buildup
13031,NOU,bullfrog
13032,NOU,bulls-eye
13033,NOU,bundler
13034,NOU,bundling
13035,NOU,buoyancy
13036,NOU,bureaucrat
13037,NOU,burley
13038,NOU,burp
13039,NOU,busboy
13040,NOU,bushel
13041,NOU,butane
13042,NOU,butcher
13043,NOU,buttercup
13044,NOU,buttermilk
13045,NOU,buttonhole
13046,NOU,buy-in
13047,NOU,buyout
13048,NOU,byzantine
13049,NOU,cabaret
13050,NOU,cabinetmaker
13051,NOU,caddis
13052,NOU,caddy
13053,NOU,calcification
13054,NOU,calcite
13055,NOU,calfskin
13056,NOU,calico
13057,NOU,californian
13058,NOU,calligrapher
13059,NOU,camaraderie
13060,NOU,campaigner
13061,NOU,camp-out
13062,NOU,canard
13063,NOU,canker
13064,NOU,cannibalism
13065,NOU,canoeing
13066,NOU,cantata
13067,NOU,canticle
13068,NOU,cantilever
13069,NOU,cantonese
13070,NOU,captor
13071,NOU,carabiner
13072,NOU,carafe
13073,NOU,carbonate
13074,NOU,carcass
13075,NOU,cardamom
13076,NOU,carload
13077,NOU,carmaker
13078,NOU,carmelite
13079,NOU,carnivore
13080,NOU,carpool
13081,NOU,carport
13082,NOU,carwash
13083,NOU,casebook
13084,NOU,caseworker
13085,NOU,casket
13086,NOU,cassis
13087,NOU,castaway
13088,NOU,castor
13089,NOU,catamount
13090,NOU,catchment
13091,NOU,catch-up
13092,NOU,catechist
13093,NOU,caterer
13094,NOU,cattleman
13095,NOU,caucasian
13096,NOU,causality
13097,NOU,caveat
13098,NOU,cavern
13099,NOU,caving
13100,NOU,celebrant
13101,NOU,cellist
13102,NOU,cellphone
13103,NOU,cellulose
13104,NOU,celt
13105,NOU,cenotaph
13106,NOU,cenote
13107,NOU,centaur
13108,NOU,centerfield
13109,NOU,centimeter
13110,NOU,cervix
13111,NOU,cesium
13112,NOU,chainstay
13113,NOU,chairlift
13114,NOU,chakra
13115,NOU,chalkboard
13116,NOU,chambray
13117,NOU,chamois
13118,NOU,chancery
13119,NOU,chanter
13120,NOU,chardonnay
13121,NOU,charlatan
13122,NOU,cheater
13123,NOU,cheating
13124,NOU,checkup
13125,NOU,cheddar
13126,NOU,chickenpox
13127,NOU,chimpanzee
13128,NOU,chinaman
13129,NOU,chipotle
13130,NOU,chipset
13131,NOU,chirp
13132,NOU,chi-square
13133,NOU,cholera
13134,NOU,choosing
13135,NOU,chorizo
13136,NOU,chow
13137,NOU,chronology
13138,NOU,chronometer
13139,NOU,chub
13140,NOU,chuck
13141,NOU,chump
13142,NOU,churro
13143,NOU,chutney
13144,NOU,circularity
13145,NOU,circumnavigation
13146,NOU,cirque
13147,NOU,cirrus
13148,NOU,citrate
13149,NOU,civics
13150,NOU,clade
13151,NOU,clairvoyance
13152,NOU,clamshell
13153,NOU,classifieds
13154,NOU,clatter
13155,NOU,clawfoot
13156,NOU,cleaver
13157,NOU,cleft
13158,NOU,cliche
13159,NOU,clicker
13160,NOU,cliffhanger
13161,NOU,clincher
13162,NOU,clothesline
13163,NOU,cloudiness
13164,NOU,clubface
13165,NOU,clubhead
13166,NOU,clustering
13167,NOU,co-anchor
13168,NOU,cobblestone
13169,NOU,co-captain
13170,NOU,coccyx
13171,NOU,co-chairman
13172,NOU,cochlea
13173,NOU,cockatiel
13174,NOU,cockatoo
13175,NOU,cocking
13176,NOU,coda
13177,NOU,codependency
13178,NOU,codger
13179,NOU,codon
13180,NOU,cofactor
13181,NOU,coffin
13182,NOU,cohabitation
13183,NOU,co-host
13184,NOU,cola
13185,NOU,colitis
13186,NOU,collider
13187,NOU,colliery
13188,NOU,colloid
13189,NOU,collusion
13190,NOU,colombian
13191,NOU,colonial
13192,NOU,colonization
13193,NOU,coloration
13194,NOU,colossus
13195,NOU,columbian
13196,NOU,columnist
13197,NOU,combatant
13198,NOU,comforter
13199,NOU,commemoration
13200,NOU,commentator
13201,NOU,commissary
13202,NOU,commuting
13203,NOU,compaction
13204,NOU,companionway
13205,NOU,compatriot
13206,NOU,compendium
13207,NOU,complainer
13208,NOU,complement
13209,NOU,composing
